Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
1,2,Ultimate Fantastic Four,1,$2.25,Marvel,"173,397"
2,1,Marvel 1602,5,$3.50,Marvel,"115,488"
3,3,New X-Men,150,$3.50,Marvel,"110,563"
4,4,Ultimate Spider-Man,50,$2.99,Marvel,"109,792"
5,7,Ultimates,12,$2.25,Marvel,"104,546"
6,8,Ultimate X-Men,40,$2.25,Marvel,"104,417"
7,5,Superman/Batman,4,$2.95,DC,"102,699"
8,9,Ultimate Six,5,$2.25,Marvel,"100,264"
9,10,Ultimate Spider-Man,51,$2.25,Marvel,"96,966"
10,6,Superman/Batman,5,$2.95,DC,"96,396"
11,12,Batman,622,$2.25,DC,"91,876"
12,14,Amazing Spider-Man,502 (#61),$2.25,Marvel,"90,461"
13,15,Uncanny X-Men,434,$2.25,Marvel,"90,296"
14,18,Uncanny X-Men,435,$2.25,Marvel,"89,744"
15,19,Uncanny X-Men,436,$2.25,Marvel,"89,083"
16,23,Wolverine,9,$2.25,Marvel,"74,640"
17,11,Supreme Power,5,$2.99,Marvel,"70,303"
18,22,Teen Titans,6,$2.50,DC,"69,238"
19,31,Spectacular Spider-Man,8,$2.25,Marvel,"62,705"
20,20,X-Treme X-Men,35,$2.99,Marvel,"61,015"
21,32,JLA,91,$2.25,DC,"58,966"
22,13,X-Treme X-Men,36,$3.50,Marvel,"58,497"
23,16,X-Treme X-Men,37,$3.50,Marvel,"58,029"
24,33,Avengers,75 (Res),$2.25,Marvel,"57,799"
25,17,X-Treme X-Men,38,$3.50,Marvel,"57,790"
26,34,Avengers,76 (Res),$2.25,Marvel,"57,487"
27,25,Daredevil,55,$2.99,Marvel,"53,646"
28,26,Wanted,1,$2.99,Image,"53,628"
29,27,Transformers Generation One Vol. 3,0,$2.95,Dreamwave,"53,068"
30,28,G.I. Joe/Transformers,5,$2.95,Image,"52,921"
31,29,Transformers/G.I. Joe,4,$2.95,Dreamwave,"52,186"
32,41,Incredible Hulk,64,$2.25,Marvel,"51,947"
33,21,Hulk Gray,4,$3.50,Marvel,"51,533"
34,45,Fantastic Four,508 (#79),$2.25,Marvel,"50,320"
35,30,G.I. Joe/Transformers,6,$2.95,Image,"49,108"
36,24,Superman,200,$3.50,DC,"47,334"
37,40,Outsiders,7,$2.50,DC,"47,040"
38,35,Captain America,21,$2.99,Marvel,"43,007"
39,47,JSA,55,$2.50,DC,"42,998"
40,38,Nyx,3,$2.99,Marvel,"40,040"
41,39,Transformers War Within Vol. 2,3,$2.95,Dreamwave,"39,948"
42,51,Formerly Known A/T Justice League,6,$2.50,DC,"38,671"
43,42,Punisher,37,$2.99,Marvel,"38,551"
44,43,Exiles,38,$2.99,Marvel,"38,533"
45,44,Exiles,39,$2.99,Marvel,"38,303"
46,55,Emma Frost,6,$2.50,Marvel,"37,880"
47,46,Thanos,3,$2.99,Marvel,"37,697"
48,58,Green Arrow,33,$2.50,DC,"36,925"
49,63,Spawn,131,$2.50,Image,"36,484"
50,50,Detective Comics,789,$2.75,DC,"36,447"
51,48,G.I. Joe,25\,$2.95,Image,"36,291"
52,67,Silver Surfer,4 (Res),$2.25,Marvel,"36,273"
53,72,Flash,205,$2.25,DC,"34,922"
54,49,Venom,9,$2.99,Marvel,"33,535"
55,52,Planetary,18,$2.95,DC,"32,763"
56,53,Thor,72,$2.99,Marvel,"31,945"
57,54,Iron Man,75,$2.99,Marvel,"31,881"
58,57,Plastic Man,1,$2.95,DC,"31,504"
59,56,Spider-Man & Dr Octopus Negative Exposure,3,$2.99,Marvel,"31,137"
60,83,Green Lantern,172,$2.25,DC,"31,072"
61,62,Astro City Local Heroes,5,$2.95,DC,"30,953"
62,59,Spider-Man/Dr Octopus Out of Reach,2,$2.99,Marvel,"30,824"
63,74,Birds of Prey,62,$2.50,DC,"30,521"
64,84,Robin,121,$2.25,DC,"30,475"
65,75,JSA All Stars,8,$2.50,DC,"30,236"
66,94,Action Comics,810,$2.25,DC,"29,501"
67,96,Wonder Woman,199,$2.25,DC,"29,217"
68,99,Nightwing,88,$2.25,DC,"28,968"
69,73,Batman Gotham Knights,48,$2.75,DC,"28,454"
70,65,Transformers Armada,18,$2.95,Dreamwave,"28,059"
71,64,Michael Turner Presents Aspen,3,$2.99,Aspen,"27,857"
72,66,Batman Death & Maidens,5,$2.95,DC,"27,756"
73,68,Street Fighter,4,$2.95,Image,"27,600"
74,69,X-Statix,17,$2.99,Marvel,"26,993"
75,70,Star Wars Infinities Return of the Jedi,1,$2.99,Dark Horse,"26,828"
76,111,Adventures of Superman,623,$2.25,DC,"26,828"
77,90,Hawkman,22,$2.50,DC,"26,773"
78,71,Y The Last Man,17,$2.95,DC,"26,690"
79,95,Batgirl,47,$2.50,DC,"26,479"
80,100,Fables,20,$2.50,DC,"25,633"
81,36,Authority/Lobo Christmas Sp,,$4.95,DC,"25,615"
82,103,Legion,28,$2.50,DC,"25,036"
83,106,Batman Legends of the Dark Knight,174,$2.50,DC,"24,788"
84,77,Superman & Batman Generations III,12,$2.95,DC,"24,614"
85,108,Catwoman,26,$2.50,DC,"24,595"
86,78,G.I. Joe Frontline,18,$2.95,Image,"24,439"
87,79,Authority Vol. 2,8,$2.95,DC,"24,108"
88,81,Hawkeye,3,$2.99,Marvel,"23,539"
89,82,Captain Marvel,17,$2.99,Marvel,"23,520"
90,85,Sojourn,30,$2.95,CrossGen,"22,895"
91,86,Thundercats Hammerhands Revenge,3,$2.95,DC,"22,868"
92,89,Rose & Thorn,1,$2.95,DC,"22,712"
93,117,Aquaman,13,$2.50,DC,"22,409"
94,91,Elektra,30,$2.99,Marvel,"22,363"
95,98,Kingpin,7,$2.99,Marvel,"21,811"
96,132,Teen Titans Go,2,$2.25,DC,"21,674"
97,101,Spider-Girl,67,$2.99,Marvel,"21,398"
98,102,Magdalena Vol. 2,4,$2.99,Image,"21,095"
99,124,Empire,6,$2.50,DC,"21,049"
100,104,Star Wars Empire,13,$2.99,Dark Horse,"20,837"
101,105,Star Wars Empire,14,$2.99,Dark Horse,"20,764"
102,107,Star Wars Empire,15,$2.99,Dark Horse,"20,571"
103,109,Runaways,9,$2.99,Marvel,"20,424"
104,110,Star Wars Republic,58,$2.99,Dark Horse,"20,424"
105,113,Batman City of Light,3,$2.95,DC,"20,396"
106,80,Ghost in the Shell 2 Man/Machine Interface,10,$3.50,Dark Horse,"20,295"
