                    Unit sales,Dollar sales,Comic-book Title,Issue,Price,Publisher,Est. units
1,1,Secret Empire,0,$4.99,Marvel,"162,718"
2,4,Batman,21 Lent. Ed.,$3.99,DC,"130,216"
3,3,X-Men Gold,1,$4.99,Marvel,"114,332"
4,2,X-Men Blue,1,$4.99,Marvel,"108,839"
5,5,Flash,21 Lent. Ed.,$3.99,DC,"107,037"
6,8,Batman,20,$2.99,DC,"97,544"
7,12,Batman,21,$2.99,DC,"89,256"
8,10,Star Wars,30,$3.99,Marvel,"70,175"
9,11,Weapon X,1,$3.99,Marvel,"68,874"
10,19,Walking Dead,166,$2.99,Image,"68,205"
11,20,Flash,21,$2.99,DC,"67,766"
12,6,All Star Batman,9,$4.99,DC,"67,632"
13,7,Star Wars Rogue One Adaptation,1,$4.99,Marvel,"64,518"
14,9,Venom,6,$3.99,Marvel,"62,747"
15,13,Amazing Spider-Man,26,$3.99,Marvel,"62,515"
16,15,X-Men Gold,2,$3.99,Marvel,"62,283"
17,26,Justice League,18,$2.99,DC,"58,737"
18,27,Detective Comics,954,$2.99,DC,"58,187"
19,30,Detective Comics,955,$2.99,DC,"57,666"
20,29,Justice League,19,$2.99,DC,"57,647"
21,16,All New Wolverine,19,$3.99,Marvel,"57,526"
22,14,Batman The Shadow,1,$3.99,DC,"55,920"
23,17,Star Wars Darth Maul,3,$3.99,Marvel,"54,949"
24,21,X-Men Blue,2,$3.99,Marvel,"54,074"
25,33,Flash,20,$2.99,DC,"53,828"
26,35,Superman,20,$2.99,DC,"53,373"
27,18,Ben Reilly Scarlet Spider,1,$3.99,Marvel,"53,240"
28,38,Superman,21,$2.99,DC,"51,373"
29,23,Deadpool Vs Punisher,1,$3.99,Marvel,"45,509"
30,53,Wonder Woman,20,$2.99,DC,"45,266"
31,25,Old Man Logan,21,$3.99,Marvel,"44,806"
32,55,Wonder Woman,21,$2.99,DC,"44,597"
33,28,Old Man Logan,22,$3.99,Marvel,"44,026"
34,57,Action Comics,977,$2.99,DC,"43,865"
35,60,Action Comics,978,$2.99,DC,"43,555"
36,49,Justice League of America,4*,$2.99,DC,"43,360"
37,59,Harley Quinn,17,$2.99,DC,"43,263"
38,37,Weapon X,2,$3.99,Marvel,"42,471"
39,61,Suicide Squad,16,$2.99,DC,"41,929"
40,62,Harley Quinn,18,$2.99,DC,"41,645"
41,51,Justice League of America,5*,$2.99,DC,"41,543"
42,31,Royals,1,$3.99,Marvel,"40,941"
43,67,Suicide Squad,15,$2.99,DC,"40,940"
44,32,Titans,10,$3.99,DC,"40,893"
45,24,Super Sons,3*,$3.99,DC,"40,510"
46,34,Spider-Man Deadpool,16,$3.99,Marvel,"40,484"
47,36,Star Wars Doctor Aphra,6,$3.99,Marvel,"40,458"
48,69,Nightwing,18,$2.99,DC,"38,858"
49,71,Nightwing,19,$2.99,DC,"38,230"
50,41,Mighty Thor,18,$3.99,Marvel,"37,505"
51,43,Captain America Steve Rogers,16,$3.99,Marvel,"37,366"
52,45,Star Wars Poe Dameron,13,$3.99,Marvel,"36,994"
53,44,Trinity,8,$3.99,DC,"36,803"
54,46,Deadpool,29,$3.99,Marvel,"36,482"
55,48,Teen Titans,7,$3.99,DC,"36,056"
56,50,Deadpool Vs Punisher,2,$3.99,Marvel,"35,977"
57,47,Black Panther Crew,1,$3.99,Marvel,"35,604"
58,52,Captain America Steve Rogers,15,$3.99,Marvel,"34,863"
59,79,Hal Jordan and the Green Lantern Corps,18,$2.99,DC,"34,507"
60,80,Green Lanterns,20,$2.99,DC,"34,224"
61,81,Hal Jordan and the Green Lantern Corps,19,$2.99,DC,"34,140"
62,54,Spider-Man,15,$3.99,Marvel,"34,013"
63,82,Green Lanterns,21,$2.99,DC,"33,556"
64,58,Doctor Strange,19,$3.99,Marvel,"33,246"
65,42,Batwoman,2*,$3.99,DC,"33,239"
66,39,Neil Gaiman American Gods Shadows,2*,$3.99,Dark Horse,"33,091"
67,56,Seven to Eternity,5,$3.99,Image,"32,667"
68,63,Nick Fury,1,$3.99,Marvel,"31,683"
69,64,Invincible Iron Man,6,$3.99,Marvel,"31,561"
70,65,Avengers,6,$3.99,Marvel,"31,461"
71,68,Black Panther,13,$3.99,Marvel,"30,509"
72,91,Green Arrow,20,$2.99,DC,"30,216"
