               Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
1,2,Doomsday Clock,2,$4.99,12/27/17,DC,"158,603"
2,3,Dark Nights Metal,4,$3.99,12/20/17,DC,"152,567"
3,1,Phoenix Resurrection Return Jean Grey,1,$4.99,12/27/17,Marvel,"145,057"
4,6,Batman,36,$2.99,12/06/17,DC,"94,385"
5,7,Batman,37,$2.99,12/20/17,DC,"92,902"
6,5,Batman White Knight,3,$3.99,12/06/17,DC,"72,679"
7,4,Amazing Spider-Man Venom Inc Alpha,1,$4.99,12/06/17,Marvel,"69,600"
8,8,Marvel Two-In-One,1,$3.99,12/20/17,Marvel,"66,706"
9,10,Hawkman Found,1,$3.99,12/27/17,DC,"64,617"
10,11,Amazing Spider-Man,792,$3.99,12/13/17,Marvel,"61,994"
11,9,Star Wars,40,$3.99,12/13/17,Marvel,"61,064"
12,19,Walking Dead,174,$2.99,12/06/17,Image,"60,964"
13,14,Amazing Spider-Man,793,$3.99,12/27/17,Marvel,"53,260"
14,23,Detective Comics,970,$2.99,12/13/17,DC,"52,560"
15,24,Detective Comics,971,$2.99,12/27/17,DC,"51,727"
16,15,Star Wars Darth Vader,9,$3.99,12/06/17,Marvel,"51,692"
17,17,Batman Teenage Mutant Ninja Turtles II,1,$3.99,12/06/17,DC,"50,213"
18,12,Star Wars Last Jedi Storms of Crait,1,$4.99,12/27/17,Marvel,"49,257"
19,16,Weapon X,12,$3.99,12/13/17,Marvel,"48,912"
20,32,Superman,37,$2.99,12/20/17,DC,"48,591"
21,33,Flash,36,$2.99,12/13/17,DC,"47,998"
22,35,Justice League,34,$2.99,12/06/17,DC,"46,958"
23,36,Flash,37,$2.99,12/27/17,DC,"46,881"
24,38,Justice League,35,$2.99,12/20/17,DC,"46,228"
25,40,Superman,36,$2.99,12/06/17,DC,"44,281"
26,47,Action Comics,993,$2.99,12/13/17,DC,"42,016"
27,21,Batman Teenage Mutant Ninja Turtles II,2,$3.99,12/20/17,DC,"41,791"
28,22,Mighty Thor,702,$3.99,12/20/17,Marvel,"41,581"
29,48,Action Comics,994,$2.99,12/27/17,DC,"41,495"
30,26,Captain America,696,$3.99,12/06/17,Marvel,"38,828"
31,25,Teen Titans,15,$3.99,12/27/17,DC,"38,745"
32,27,X-Men Gold,17,$3.99,12/06/17,Marvel,"38,148"
33,28,Old Man Logan,32,$3.99,12/20/17,Marvel,"38,013"
34,29,Mister Miracle,5,$3.99,12/13/17,DC,"37,693"
35,56,Wonder Woman,36,$2.99,12/13/17,DC,"37,647"
36,30,X-Men Gold,18,$3.99,12/20/17,Marvel,"37,616"
37,31,Super Sons,11,$3.99,12/20/17,DC,"37,356"
38,13,X-Men Grand Design,1,$5.99,12/20/17,Marvel,"37,041"
39,59,Wonder Woman,37,$2.99,12/27/17,DC,"36,970"
40,34,Venom,159,$3.99,12/20/17,Marvel,"36,203"
41,37,Astonishing X-Men,6,$3.99,12/06/17,Marvel,"35,437"
42,39,X-Men Blue,17,$3.99,12/13/17,Marvel,"34,408"
43,66,Harley Quinn,33,$2.99,12/20/17,DC,"33,694"
44,41,X-Men Blue,18,$3.99,12/27/17,Marvel,"33,283"
45,42,Avengers,674,$3.99,12/06/17,Marvel,"33,199"
46,44,Deadpool Vs. Old Man Logan,3,$3.99,12/20/17,Marvel,"32,279"
47,43,Titans,18,$3.99,12/13/17,DC,"32,276"
48,45,Despicable Deadpool,290,$3.99,12/13/17,Marvel,"32,024"
49,46,Star Wars Doctor Aphra,15,$3.99,12/20/17,Marvel,"31,839"
50,50,Star Wars Jedi Republic Mace Windu,5,$3.99,12/27/17,Marvel,"30,149"
51,49,Quantum & Woody,1,$3.99,12/20/17,Valiant,"29,514"
52,51,All New Wolverine,28,$3.99,12/13/17,Marvel,"29,512"
53,87,Hal Jordan and the Green Lantern Corps,34,$2.99,12/13/17,DC,"29,474"
54,52,Peter Parker Spectacular Spider-Man,298,$3.99,12/20/17,Marvel,"29,431"
55,88,Nightwing,34,$2.99,12/06/17,DC,"29,426"
56,89,Nightwing,35,$2.99,12/20/17,DC,"29,310"
57,92,Hal Jordan and the Green Lantern Corps,35,$2.99,12/27/17,DC,"29,203"
58,53,Star Wars Poe Dameron,22,$3.99,12/20/17,Marvel,"28,922"
59,20,Batman Creature of the Night,2,$5.99,12/27/17,DC,"28,876"
60,54,Despicable Deadpool,291,$3.99,12/27/17,Marvel,"28,583"
61,57,Spider-Men II,5,$3.99,12/27/17,Marvel,"28,531"
62,55,Supergirl,16,$3.99,12/13/17,DC,"28,450"
63,58,Invincible Iron Man,595,$3.99,12/27/17,Marvel,"28,349"
64,96,Suicide Squad,31,$2.99,12/13/17,DC,"28,229"
65,61,Daredevil,596,$3.99,12/13/17,Marvel,"27,700"
66,99,Suicide Squad,32,$2.99,12/27/17,DC,"27,631"
67,60,Ms. Marvel,25,$3.99,12/20/17,Marvel,"27,183"
68,102,Justice League of America,20,$2.99,12/13/17,DC,"27,153"
69,62,Spider-Man,235,$3.99,12/06/17,Marvel,"26,954"
70,104,Justice League of America,21,$2.99,12/27/17,DC,"26,892"
71,63,Punisher,219,$3.99,12/13/17,Marvel,"26,465"
72,107,Green Lanterns,36,$2.99,12/06/17,DC,"26,436"
73,64,Incredible Hulk,711,$3.99,12/20/17,Marvel,"26,434"
74,65,Spider-Man Deadpool,25,$3.99,12/27/17,Marvel,"26,080"
75,108,Green Lanterns,37,$2.99,12/20/17,DC,"26,055"
76,69,Thanos,14,$3.99,12/27/17,Marvel,"25,578"
77,67,Aquaman,31,$3.99,12/20/17,DC,"25,474"
78,71,Tales of Suspense,100,$3.99,12/20/17,Marvel,"25,315"
79,70,Trinity,16,$3.99,12/20/17,DC,"25,178"
80,68,Generation X,85,$3.99,12/20/17,Marvel,"24,953"
81,72,Harley & Ivy Meet Betty & Veronica,3,$3.99,12/06/17,DC,"24,356"
82,75,Doctor Strange,382,$3.99,12/06/17,Marvel,"24,286"
83,76,Spider-Gwen,27,$3.99,12/20/17,Marvel,"24,218"
84,80,Guardians of the Galaxy,148,$3.99,12/06/17,Marvel,"23,731"
85,79,Green Arrow,35,$3.99,12/06/17,DC,"23,682"
86,73,Black Bolt,8,$3.99,12/06/17,Marvel,"23,608"
87,78,Hawkeye,13,$3.99,12/06/17,Marvel,"23,363"
88,116,Paper Girls,18,$2.99,12/06/17,Image,"23,341"
89,81,Champions,15,$3.99,12/20/17,Marvel,"23,190"
90,82,Uncanny Avengers,30,$3.99,12/20/17,Marvel,"23,044"
91,83,Doctor Strange,383,$3.99,12/20/17,Marvel,"23,021"
92,86,Black Panther,168,$3.99,12/27/17,Marvel,"22,492"
93,85,Spirits of Vengeance,3,$3.99,12/06/17,Marvel,"22,472"
