Units,Dollars,Comic-book Title,Issue,Price,On sale,Publisher,Est. units
1,1,Justice League,1,$3.99,06/06/18,DC,"200,235"
2,12,Magic Order,1*â ,$3.99,06/13/18,Image,"157,731"
3,2,Tony Stark Iron Man,1,$4.99,06/20/18,Marvel,"135,727"
4,5,Amazing Spider-Man,801,$3.99,06/20/18,Marvel,"122,256"
5,8,Batman,49,$2.99,06/20/18,DC,"121,836"
6,11,Batman,48,$2.99,06/06/18,DC,"112,122"
7,3,Deadpool,1,$4.99,06/06/18,Marvel,"105,507"
8,4,Thor,1,$5.99,06/13/18,Marvel,"102,530"
9,6,X-Men Gold,30,$4.99,06/20/18,Marvel,"88,238"
10,9,Justice League,2,$3.99,06/20/18,DC,"86,001"
11,7,Immortal Hulk,1,$4.99,06/06/18,Marvel,"84,153"
12,10,Venom,2,$3.99,06/13/18,Marvel,"73,198"
13,15,Walking Dead,180,$3.99,06/06/18,Image,"71,196"
14,13,Man of Steel,2*,$3.99,06/06/18,DC,"69,174"
15,14,Man of Steel,3*,$3.99,06/13/18,DC,"66,550"
16,16,Man of Steel,4*,$3.99,06/20/18,DC,"63,565"
17,20,Thor,2,$3.99,06/27/18,Marvel,"63,257"
18,17,Man of Steel,5*,$3.99,06/27/18,DC,"62,468"
19,22,Batman Prelude to the Wedding Harley Vs. Joker,1,$3.99,06/27/18,DC,"60,367"
20,23,Avengers,3,$3.99,06/20/18,Marvel,"59,572"
21,19,Venom,3,$3.99,06/27/18,Marvel,"57,527"
22,24,Batman Prelude to the Wedding Nightwing Vs. Hush,1,$3.99,06/06/18,DC,"56,191"
23,25,Batman Prelude to the Wedding Batgirl Vs. Riddler,1,$3.99,06/13/18,DC,"55,533"
24,32,Flash,49,$2.99,06/27/18,DC,"54,265"
25,34,Flash,48,$2.99,06/13/18,DC,"53,686"
26,26,Batman Prelude to the Wedding Red Hood Vs. Anarky,1,$3.99,06/20/18,DC,"52,997"
27,18,Infinity Countdown,4,$4.99,06/06/18,Marvel,"52,369"
28,38,Detective Comics,983,$2.99,06/27/18,DC,"52,016"
29,39,Detective Comics,982,$2.99,06/13/18,DC,"51,763"
30,27,Star Wars Darth Vader,17,$3.99,06/13/18,Marvel,"50,072"
31,28,Star Wars,49,$3.99,06/06/18,Marvel,"49,655"
32,29,Doctor Strange,1,$3.99,06/06/18,Marvel,"47,334"
33,30,Hawkman,1,$3.99,06/13/18,DC,"42,123"
34,37,Mister Miracle,9,$3.99,06/13/18,DC,"39,367"
35,40,Deathstroke,32,$3.99,06/06/18,DC,"38,535"
36,41,X-Men Red,5,$3.99,06/06/18,Marvel,"38,372"
37,64,Spawn,286,$2.99,06/06/18,Image,"38,059"
38,67,Saga,53,$2.99,06/27/18,Image,"37,050"
39,42,X-Men Gold,29,$3.99,06/06/18,Marvel,"36,395"
40,46,Captain America,703,$3.99,06/06/18,Marvel,"35,304"
41,47,Black Panther,2,$3.99,06/27/18,Marvel,"34,891"
42,48,Hunt For Wolverine Adamantium Agenda,2,$3.99,06/13/18,Marvel,"34,564"
43,50,Captain America,704,$3.99,06/20/18,Marvel,"34,434"
44,76,Wonder Woman,48,$2.99,06/13/18,DC,"34,418"
45,78,Wonder Woman,49,$2.99,06/27/18,DC,"34,129"
46,53,Doctor Strange,2,$3.99,06/20/18,Marvel,"33,184"
47,51,Oblivion Song By Kirkman & De Felici,4,$3.99,06/13/18,Image,"33,181"
48,52,Hunt For Wolverine Weapon Lost,2,$3.99,06/06/18,Marvel,"33,118"
49,31,Teen Titans Special,1,$4.99,06/27/18,DC,"32,702"
50,33,Deadpool Assassin,1,$4.99,06/13/18,Marvel,"32,450"
51,56,Hunt For Wolverine Claws of Killer,2,$3.99,06/20/18,Marvel,"32,137"
52,55,Plastic Man,1,$3.99,06/13/18,DC,"31,997"
53,57,Hunt For Wolverine Mystery Madripoor,2,$3.99,06/27/18,Marvel,"31,903"
54,35,Titans Special,1,$4.99,06/13/18,DC,"31,898"
55,58,Star Wars Thrawn,5,$3.99,06/13/18,Marvel,"31,839"
56,59,Ant-Man and the Wasp,1,$3.99,06/06/18,Marvel,"31,030"
57,60,Old Man Logan,41,$3.99,06/13/18,Marvel,"30,781"
58,61,Old Man Logan,42,$3.99,06/27/18,Marvel,"30,234"
59,62,X-Men Blue,29,$3.99,06/13/18,Marvel,"30,116"
60,63,X-Men Blue,30,$3.99,06/27/18,Marvel,"29,962"
61,89,Harley Quinn,43,$2.99,06/06/18,DC,"29,948"
62,90,Harley Quinn,44,$2.99,06/20/18,DC,"29,545"
63,65,Sentry,1,$3.99,06/27/18,Marvel,"28,928"
64,44,Marvel Two-In-One Annual,1,$4.99,06/13/18,Marvel,"28,794"
65,66,Astonishing X-Men,12,$3.99,06/06/18,Marvel,"28,513"
66,43,Wonder Woman Annual,2,$4.99,06/06/18,DC,"28,427"
67,45,Infinity Countdown Black Widow,1,$4.99,06/20/18,Marvel,"28,265"
68,100,Hal Jordan and the Green Lantern Corps,46,$2.99,06/13/18,DC,"28,085"
69,108,Unexpected,1,$2.99,06/06/18,DC,"28,028"
70,101,Hal Jordan and the Green Lantern Corps,47,$2.99,06/27/18,DC,"27,825"
71,68,Star Wars Doctor Aphra,21,$3.99,06/27/18,Marvel,"27,741"
72,69,Marvel Two-In-One,7,$3.99,06/27/18,Marvel,"27,602"
73,49,Peter Parker Spectacular Spider-Man Annual,1,$4.99,06/20/18,Marvel,"27,568"
74,71,Deadpool Assassin,2,$3.99,06/27/18,Marvel,"27,100"
